label,policy,burst,startup_sec,max_pool,min_pool,initial_pool,requests,workload,seed,n_finished,mean_ttft_s,p99_ttft_s,mean_tpot_s,p99_tpot_s,mean_e2e_s,slo_attainment,cold_start_violations,active_vm_hours,idle_vm_hours,cost_usd,total_energy_kwh,wall_ms
REACTIVE-low-s5-seed42,REACTIVE,low,5.0,8,2,4,300,medium,42,300,11.9097,35.7523,0.028463,0.030897,496.5392,0.0167,0,1.1374,3.3054,2.1041,0.605787,157
STATIC-high-s30-seed46,STATIC,high,30.0,8,2,4,300,medium,46,300,8.3558,25.5264,0.026543,0.028096,21.8536,0.1933,0,0.0764,0.0764,0.1413,0.016872,168
REACTIVE-low-s5-seed43,REACTIVE,low,5.0,8,2,4,300,medium,43,300,12.6903,39.0902,0.028541,0.031015,411.1397,0.0133,0,1.0954,3.1794,2.0264,0.498062,152
REACTIVE-low-s5-seed44,REACTIVE,low,5.0,8,2,4,300,medium,44,300,11.2913,34.9259,0.028495,0.030712,296.3133,0.0133,0,0.6328,1.7919,1.1708,0.356278,153
REACTIVE-low-s15-seed43,REACTIVE,low,15.0,8,2,4,300,medium,43,300,12.6903,39.0902,0.028541,0.031015,411.1397,0.0133,0,1.0954,3.1794,2.0264,0.498062,157
REACTIVE-low-s5-seed45,REACTIVE,low,5.0,8,2,4,300,medium,45,300,10.2416,43.8244,0.028133,0.030232,402.3714,0.0300,0,0.9603,2.7741,1.7765,0.490162,150
REACTIVE-low-s5-seed46,REACTIVE,low,5.0,8,2,4,300,medium,46,300,12.2123,35.3459,0.027963,0.030464,565.3282,0.0133,0,1.4227,4.1613,2.6319,0.691395,158
REACTIVE-low-s15-seed42,REACTIVE,low,15.0,8,2,4,300,medium,42,300,11.9097,35.7523,0.028463,0.030897,496.5392,0.0167,0,1.1374,3.3054,2.1041,0.605787,157
REACTIVE-low-s15-seed45,REACTIVE,low,15.0,8,2,4,300,medium,45,300,10.2416,43.8244,0.028133,0.030232,402.3714,0.0300,0,0.9603,2.7741,1.7765,0.490162,149
REACTIVE-low-s15-seed44,REACTIVE,low,15.0,8,2,4,300,medium,44,300,11.2913,34.9259,0.028495,0.030712,296.3133,0.0133,0,0.6328,1.7919,1.1708,0.356278,147
REACTIVE-low-s30-seed42,REACTIVE,low,30.0,8,2,4,300,medium,42,300,11.9097,35.7523,0.028463,0.030897,496.5392,0.0167,0,1.1374,3.3054,2.1041,0.605787,147
REACTIVE-low-s15-seed46,REACTIVE,low,15.0,8,2,4,300,medium,46,300,12.2123,35.3459,0.027963,0.030464,565.3282,0.0133,0,1.4227,4.1613,2.6319,0.691395,143
REACTIVE-low-s30-seed44,REACTIVE,low,30.0,8,2,4,300,medium,44,300,11.2913,34.9259,0.028495,0.030712,296.3133,0.0133,0,0.6328,1.7919,1.1708,0.356278,147
REACTIVE-low-s30-seed45,REACTIVE,low,30.0,8,2,4,300,medium,45,300,10.2416,43.8244,0.028133,0.030232,402.3714,0.0300,0,0.9603,2.7741,1.7765,0.490162,151
REACTIVE-low-s30-seed43,REACTIVE,low,30.0,8,2,4,300,medium,43,300,12.6903,39.0902,0.028541,0.031015,411.1397,0.0133,0,1.0954,3.1794,2.0264,0.498062,166
REACTIVE-low-s30-seed46,REACTIVE,low,30.0,8,2,4,300,medium,46,300,12.2123,35.3459,0.027963,0.030464,565.3282,0.0133,0,1.4227,4.1613,2.6319,0.691395,169
REACTIVE-med-s5-seed43,REACTIVE,med,5.0,8,2,4,300,medium,43,300,18.1111,55.7899,0.028263,0.031014,420.9435,0.0133,0,1.1025,3.2009,2.0397,0.503541,162
REACTIVE-med-s5-seed42,REACTIVE,med,5.0,8,2,4,300,medium,42,300,19.0375,108.5127,0.028237,0.030846,869.3776,0.0133,0,4.2943,12.7762,7.9445,1.062925,165
REACTIVE-med-s5-seed45,REACTIVE,med,5.0,8,2,4,300,medium,45,300,19.0247,26.7803,0.026740,0.028407,37.0411,0.0133,0,0.0830,0.1422,0.1535,0.022520,157
REACTIVE-med-s5-seed44,REACTIVE,med,5.0,8,2,4,300,medium,44,300,18.2773,89.8726,0.027587,0.030714,457.7590,0.0133,0,1.4981,4.3877,2.7715,0.549352,160
REACTIVE-med-s15-seed43,REACTIVE,med,15.0,8,2,4,300,medium,43,300,18.1111,55.7899,0.028263,0.031014,420.9435,0.0133,0,1.1025,3.2009,2.0397,0.503541,162
REACTIVE-med-s5-seed46,REACTIVE,med,5.0,8,2,4,300,medium,46,300,18.8114,48.7550,0.026706,0.031117,158.0758,0.0267,0,0.5622,1.5801,1.0402,0.174081,164
REACTIVE-med-s15-seed42,REACTIVE,med,15.0,8,2,4,300,medium,42,300,19.0375,108.5127,0.028237,0.030846,869.3776,0.0133,0,4.2943,12.7762,7.9445,1.062925,169
REACTIVE-med-s15-seed44,REACTIVE,med,15.0,8,2,4,300,medium,44,300,18.2773,89.8726,0.027587,0.030714,457.7590,0.0133,0,1.4981,4.3877,2.7715,0.549352,176
REACTIVE-med-s30-seed43,REACTIVE,med,30.0,8,2,4,300,medium,43,300,18.1111,55.7899,0.028263,0.031014,420.9435,0.0133,0,1.1025,3.2009,2.0397,0.503541,152
REACTIVE-med-s15-seed46,REACTIVE,med,15.0,8,2,4,300,medium,46,300,18.8114,48.7550,0.026706,0.031117,158.0758,0.0267,0,0.5622,1.5801,1.0402,0.174081,158
