label,policy,hour,requests,workload,seed,lambda,n_finished,mean_ttft_s,p99_ttft_s,mean_tpot_s,p99_tpot_s,mean_e2e_s,slo_attainment,total_energy_kwh,total_carbon_kg,wall_ms
LATENCY_GREEDY-h0-long-s42,LATENCY_GREEDY,0,500,long,42,0.0050,500,8.7500,19.2725,0.038758,0.042942,27.7355,0.0220,0.039553,0.387540,143
CARBON_AWARE-h0-long-s42,CARBON_AWARE,0,500,long,42,0.0050,500,37.2955,74.2708,0.053442,0.058253,72.3500,0.0000,0.073238,0.066321,174
BLENDED-h0-long-s42,BLENDED,0,500,long,42,0.0050,500,37.2955,74.2708,0.053442,0.058253,72.3500,0.0000,0.073238,0.066321,170
LATENCY_GREEDY-h3-long-s42,LATENCY_GREEDY,3,500,long,42,0.0050,500,8.7500,19.2725,0.038758,0.042942,27.7355,0.0220,0.039553,0.373542,143
CARBON_AWARE-h3-long-s42,CARBON_AWARE,3,500,long,42,0.0050,500,37.2955,74.2708,0.053442,0.058253,72.3500,0.0000,0.073238,0.066321,173
BLENDED-h3-long-s42,BLENDED,3,500,long,42,0.0050,500,37.2955,74.2708,0.053442,0.058253,72.3500,0.0000,0.073238,0.066321,176
LATENCY_GREEDY-h6-long-s42,LATENCY_GREEDY,6,500,long,42,0.0050,500,8.7500,19.2725,0.038758,0.042942,27.7355,0.0220,0.039553,0.405688,140
CARBON_AWARE-h6-long-s42,CARBON_AWARE,6,500,long,42,0.0050,500,37.2955,74.2708,0.053442,0.058253,72.3500,0.0000,0.073238,0.066321,170
BLENDED-h6-long-s42,BLENDED,6,500,long,42,0.0050,500,37.2955,74.2708,0.053442,0.058253,72.3500,0.0000,0.073238,0.066321,167
LATENCY_GREEDY-h9-long-s42,LATENCY_GREEDY,9,500,long,42,0.0050,500,8.7500,19.2725,0.038758,0.042942,27.7355,0.0220,0.039553,0.437825,141
CARBON_AWARE-h9-long-s42,CARBON_AWARE,9,500,long,42,0.0050,500,37.2955,74.2708,0.053442,0.058253,72.3500,0.0000,0.073238,0.066321,173
BLENDED-h9-long-s42,BLENDED,9,500,long,42,0.0050,500,37.2955,74.2708,0.053442,0.058253,72.3500,0.0000,0.073238,0.066321,172
LATENCY_GREEDY-h12-long-s42,LATENCY_GREEDY,12,500,long,42,0.0050,500,8.7500,19.2725,0.038758,0.042942,27.7355,0.0220,0.039553,0.451127,144
CARBON_AWARE-h12-long-s42,CARBON_AWARE,12,500,long,42,0.0050,500,37.2955,74.2708,0.053442,0.058253,72.3500,0.0000,0.073238,0.066321,170
BLENDED-h12-long-s42,BLENDED,12,500,long,42,0.0050,500,37.2955,74.2708,0.053442,0.058253,72.3500,0.0000,0.073238,0.066321,176
LATENCY_GREEDY-h15-long-s42,LATENCY_GREEDY,15,500,long,42,0.0050,500,8.7500,19.2725,0.038758,0.042942,27.7355,0.0220,0.039553,0.437815,141
CARBON_AWARE-h15-long-s42,CARBON_AWARE,15,500,long,42,0.0050,500,37.2955,74.2708,0.053442,0.058253,72.3500,0.0000,0.073238,0.066321,169
BLENDED-h15-long-s42,BLENDED,15,500,long,42,0.0050,500,37.2955,74.2708,0.053442,0.058253,72.3500,0.0000,0.073238,0.066321,173
LATENCY_GREEDY-h18-long-s42,LATENCY_GREEDY,18,500,long,42,0.0050,500,8.7500,19.2725,0.038758,0.042942,27.7355,0.0220,0.039553,0.432998,142
CARBON_AWARE-h18-long-s42,CARBON_AWARE,18,500,long,42,0.0050,500,37.2955,74.2708,0.053442,0.058253,72.3500,0.0000,0.073238,0.066321,171
BLENDED-h18-long-s42,BLENDED,18,500,long,42,0.0050,500,37.2955,74.2708,0.053442,0.058253,72.3500,0.0000,0.073238,0.066321,170
LATENCY_GREEDY-h21-long-s42,LATENCY_GREEDY,21,500,long,42,0.0050,500,8.7500,19.2725,0.038758,0.042942,27.7355,0.0220,0.039553,0.412174,155
CARBON_AWARE-h21-long-s42,CARBON_AWARE,21,500,long,42,0.0050,500,37.2955,74.2708,0.053442,0.058253,72.3500,0.0000,0.073238,0.066321,172
BLENDED-h21-long-s42,BLENDED,21,500,long,42,0.0050,500,37.2955,74.2708,0.053442,0.058253,72.3500,0.0000,0.073238,0.066321,171
