label,mix,policy,requests,workload,seed,n_finished,mean_ttft_s,p99_ttft_s,mean_tpot_s,p99_tpot_s,mean_e2e_s,slo_attainment,total_energy_kwh,total_carbon_kg,wall_ms
a100x8-FREE_HBM-medium-s44,a100x8,FREE_HBM,500,medium,44,500,10.6086,19.2146,0.028996,0.029915,24.2468,0.0160,0.027051,0.011821,217
a100x8-FREE_HBM-medium-s46,a100x8,FREE_HBM,500,medium,46,500,9.1734,19.2534,0.028774,0.029796,23.0883,0.0400,0.027600,0.012061,218
a100x8-FREE_HBM-medium-s45,a100x8,FREE_HBM,500,medium,45,500,10.8601,18.0633,0.028852,0.029666,24.0345,0.0180,0.026132,0.011419,222
a100x8-EST_TTFT-medium-s42,a100x8,EST_TTFT,500,medium,42,500,11.2694,19.9638,0.028964,0.029946,24.7648,0.0240,0.026768,0.011698,219
a100x8-EST_TTFT-medium-s43,a100x8,EST_TTFT,500,medium,43,500,13.6792,19.5976,0.028885,0.030224,26.5176,0.0160,0.025465,0.011128,221
a100x8-EST_TTFT-medium-s46,a100x8,EST_TTFT,500,medium,46,500,9.1734,19.2534,0.028774,0.029796,23.0883,0.0400,0.027600,0.012061,228
a100x8-EST_TTFT-medium-s44,a100x8,EST_TTFT,500,medium,44,500,10.6086,19.2146,0.028996,0.029915,24.2468,0.0160,0.027051,0.011821,228
a100x8-EST_TTFT-medium-s45,a100x8,EST_TTFT,500,medium,45,500,10.8601,18.0633,0.028852,0.029666,24.0345,0.0180,0.026132,0.011419,236
h100x8-FREE_HBM-medium-s43,h100x8,FREE_HBM,500,medium,43,500,4.8795,10.0810,0.017422,0.018006,13.0160,0.0360,0.027810,0.012153,227
h100x8-FREE_HBM-medium-s45,h100x8,FREE_HBM,500,medium,45,500,3.5143,8.1603,0.016862,0.017675,11.8219,0.0820,0.028395,0.012409,225
h100x8-FREE_HBM-medium-s44,h100x8,FREE_HBM,500,medium,44,500,3.6880,9.2397,0.017080,0.018080,12.0523,0.0440,0.028589,0.012493,228
h100x8-FREE_HBM-medium-s42,h100x8,FREE_HBM,500,medium,42,500,4.0736,9.8394,0.017194,0.018106,12.5207,0.0560,0.028872,0.012617,227
h100x8-EST_TTFT-medium-s44,h100x8,EST_TTFT,500,medium,44,500,3.6880,9.2397,0.017080,0.018080,12.0523,0.0440,0.028589,0.012493,200
h100x8-EST_TTFT-medium-s42,h100x8,EST_TTFT,500,medium,42,500,4.0736,9.8394,0.017194,0.018106,12.5207,0.0560,0.028872,0.012617,223
h100x8-FREE_HBM-medium-s46,h100x8,FREE_HBM,500,medium,46,500,3.9939,9.6834,0.017174,0.018142,12.3798,0.0520,0.028663,0.012526,226
h100x8-EST_TTFT-medium-s43,h100x8,EST_TTFT,500,medium,43,500,4.8795,10.0810,0.017422,0.018006,13.0160,0.0360,0.027810,0.012153,231
l40sx8-FREE_HBM-medium-s42,l40sx8,FREE_HBM,500,medium,42,500,24.3285,36.2025,0.065975,0.068299,54.0104,0.0000,0.051042,0.022305,218
h100x8-EST_TTFT-medium-s45,h100x8,EST_TTFT,500,medium,45,500,3.5143,8.1603,0.016862,0.017675,11.8219,0.0820,0.028395,0.012409,241
l40sx8-FREE_HBM-medium-s43,l40sx8,FREE_HBM,500,medium,43,500,26.8595,35.3214,0.065850,0.068940,55.8424,0.0000,0.049839,0.021780,228
h100x8-EST_TTFT-medium-s46,h100x8,EST_TTFT,500,medium,46,500,3.9939,9.6834,0.017174,0.018142,12.3798,0.0520,0.028663,0.012526,232
l40sx8-FREE_HBM-medium-s44,l40sx8,FREE_HBM,500,medium,44,500,21.9659,34.0014,0.066107,0.068226,51.4123,0.0000,0.050637,0.022128,217
l40sx8-FREE_HBM-medium-s46,l40sx8,FREE_HBM,500,medium,46,500,22.3991,33.8655,0.065653,0.067952,51.7614,0.0000,0.050492,0.022065,221
l40sx8-FREE_HBM-medium-s45,l40sx8,FREE_HBM,500,medium,45,500,22.6424,32.1606,0.065751,0.067408,51.6691,0.0000,0.049915,0.021813,222
l40sx8-EST_TTFT-medium-s42,l40sx8,EST_TTFT,500,medium,42,500,24.3285,36.2025,0.065975,0.068299,54.0104,0.0000,0.051042,0.022305,206
l40sx8-EST_TTFT-medium-s44,l40sx8,EST_TTFT,500,medium,44,500,21.9659,34.0014,0.066107,0.068226,51.4123,0.0000,0.050637,0.022128,208
l40sx8-EST_TTFT-medium-s43,l40sx8,EST_TTFT,500,medium,43,500,26.8595,35.3214,0.065850,0.068940,55.8424,0.0000,0.049839,0.021780,216
l40sx8-EST_TTFT-medium-s45,l40sx8,EST_TTFT,500,medium,45,500,22.6424,32.1606,0.065751,0.067408,51.6691,0.0000,0.049915,0.021813,220
l40sx8-EST_TTFT-medium-s46,l40sx8,EST_TTFT,500,medium,46,500,22.3991,33.8655,0.065653,0.067952,51.7614,0.0000,0.050492,0.022065,231
a100x4_h100x4-FREE_HBM-medium-s43,a100x4_h100x4,FREE_HBM,500,medium,43,500,9.1165,19.3011,0.023295,0.030224,19.5974,0.0160,0.028306,0.012370,212
a100x4_h100x4-FREE_HBM-medium-s42,a100x4_h100x4,FREE_HBM,500,medium,42,500,7.9731,18.2525,0.023103,0.029843,18.7618,0.0420,0.029137,0.012733,224
a100x4_h100x4-FREE_HBM-medium-s44,a100x4_h100x4,FREE_HBM,500,medium,44,500,7.0869,18.8492,0.023181,0.029915,18.2236,0.0280,0.030077,0.013144,226
a100x4_h100x4-FREE_HBM-medium-s45,a100x4_h100x4,FREE_HBM,500,medium,45,500,7.6984,17.6849,0.022917,0.029560,18.2291,0.0560,0.028441,0.012429,226
a100x4_h100x4-EST_TTFT-medium-s44,a100x4_h100x4,EST_TTFT,500,medium,44,500,7.0869,18.8492,0.023181,0.029915,18.2236,0.0280,0.030077,0.013144,210
a100x4_h100x4-FREE_HBM-medium-s46,a100x4_h100x4,FREE_HBM,500,medium,46,500,5.8291,18.9318,0.022939,0.029796,17.1359,0.0580,0.030537,0.013345,239
a100x4_h100x4-EST_TTFT-medium-s42,a100x4_h100x4,EST_TTFT,500,medium,42,500,7.9731,18.2525,0.023103,0.029843,18.7618,0.0420,0.029137,0.012733,250
a100x4_h100x4-EST_TTFT-medium-s43,a100x4_h100x4,EST_TTFT,500,medium,43,500,9.1165,19.3011,0.023295,0.030224,19.5974,0.0160,0.028306,0.012370,236
a100x4_l40sx4-FREE_HBM-medium-s42,a100x4_l40sx4,FREE_HBM,500,medium,42,500,17.6432,36.2025,0.047332,0.068299,39.0792,0.0120,0.039690,0.017345,229
a100x4_h100x4-EST_TTFT-medium-s45,a100x4_h100x4,EST_TTFT,500,medium,45,500,7.6984,17.6849,0.022917,0.029560,18.2291,0.0560,0.028441,0.012429,238
a100x4_l40sx4-FREE_HBM-medium-s43,a100x4_l40sx4,FREE_HBM,500,medium,43,500,20.9666,35.3214,0.047082,0.066837,41.8965,0.0080,0.038753,0.016935,213
a100x4_h100x4-EST_TTFT-medium-s46,a100x4_h100x4,EST_TTFT,500,medium,46,500,5.8291,18.9318,0.022939,0.029796,17.1359,0.0580,0.030537,0.013345,237
a100x4_l40sx4-EST_TTFT-medium-s42,a100x4_l40sx4,EST_TTFT,500,medium,42,500,17.6432,36.2025,0.047332,0.068299,39.0792,0.0120,0.039690,0.017345,394
a100x4_l40sx4-FREE_HBM-medium-s44,a100x4_l40sx4,FREE_HBM,500,medium,44,500,16.3269,33.2595,0.047303,0.067963,37.5802,0.0080,0.039352,0.017197,399
a100x4_l40sx4-FREE_HBM-medium-s45,a100x4_l40sx4,FREE_HBM,500,medium,45,500,16.4332,32.1606,0.047093,0.067181,37.3662,0.0080,0.038759,0.016938,397
a100x4_l40sx4-FREE_HBM-medium-s46,a100x4_l40sx4,FREE_HBM,500,medium,46,500,14.6139,33.8161,0.047043,0.067827,36.4164,0.0280,0.040369,0.017641,409
a100x4_l40sx4-EST_TTFT-medium-s43,a100x4_l40sx4,EST_TTFT,500,medium,43,500,20.9666,35.3214,0.047082,0.066837,41.8965,0.0080,0.038753,0.016935,217
a100x4_l40sx4-EST_TTFT-medium-s44,a100x4_l40sx4,EST_TTFT,500,medium,44,500,16.3269,33.2595,0.047303,0.067963,37.5802,0.0080,0.039352,0.017197,224
a100x4_l40sx4-EST_TTFT-medium-s45,a100x4_l40sx4,EST_TTFT,500,medium,45,500,16.4332,32.1606,0.047093,0.067181,37.3662,0.0080,0.038759,0.016938,225
a100x4_l40sx4-EST_TTFT-medium-s46,a100x4_l40sx4,EST_TTFT,500,medium,46,500,14.6139,33.8161,0.047043,0.067827,36.4164,0.0280,0.040369,0.017641,219
