label,config,routing,requests,seed,n_finished,mean_ttft_s,p99_ttft_s,mean_tpot_s,p99_tpot_s,mean_e2e_s,slo_attainment,total_energy_kwh,joules_per_token,wall_ms
tp1x8-ROUND_ROBIN-r30-s56,tp1x8,ROUND_ROBIN,4500,56,4500,74.3998,170.9060,0.083730,0.086653,110.8853,0.0071,0.058461,0.1592,476
tp1x8-ROUND_ROBIN-r30-s54,tp1x8,ROUND_ROBIN,4500,54,4500,79.7686,175.4180,0.083856,0.086653,116.3397,0.0082,0.055763,0.1509,493
tp1x8-ROUND_ROBIN-r30-s57,tp1x8,ROUND_ROBIN,4500,57,4500,80.1085,176.1680,0.083781,0.086653,117.0066,0.0107,0.056769,0.1510,460
tp1x8-ROUND_ROBIN-r30-s59,tp1x8,ROUND_ROBIN,4500,59,4500,78.5531,174.7858,0.083861,0.086653,115.2599,0.0064,0.056396,0.1513,455
tp1x8-ROUND_ROBIN-r30-s58,tp1x8,ROUND_ROBIN,4500,58,4500,80.3038,177.5546,0.084167,0.086653,117.3193,0.0053,0.057515,0.1539,473
tp1x8-ROUND_ROBIN-r30-s61,tp1x8,ROUND_ROBIN,4500,61,4500,78.7796,174.3360,0.083949,0.086653,115.7487,0.0071,0.057841,0.1561,445
tp1x8-ROUND_ROBIN-r30-s60,tp1x8,ROUND_ROBIN,4500,60,4500,77.6492,175.0415,0.083549,0.086653,113.9632,0.0098,0.056056,0.1517,459
tp1x8-ROUND_ROBIN-r40-s45,tp1x8,ROUND_ROBIN,6000,45,6000,138.5245,292.3918,0.084929,0.086653,175.9839,0.0035,0.050439,0.1018,586
tp1x8-ROUND_ROBIN-r40-s43,tp1x8,ROUND_ROBIN,6000,43,6000,135.2375,282.7919,0.085123,0.086653,172.4264,0.0008,0.050981,0.1026,610
tp1x8-ROUND_ROBIN-r40-s42,tp1x8,ROUND_ROBIN,6000,42,6000,139.7133,296.6551,0.085114,0.086653,177.6578,0.0008,0.051336,0.1019,621
tp1x8-ROUND_ROBIN-r40-s44,tp1x8,ROUND_ROBIN,6000,44,6000,136.8739,286.7963,0.085104,0.086653,173.8834,0.0007,0.050209,0.1022,625
tp1x8-ROUND_ROBIN-r40-s48,tp1x8,ROUND_ROBIN,6000,48,6000,136.0299,291.5220,0.085192,0.086653,173.3281,0.0005,0.051774,0.1045,582
tp1x8-ROUND_ROBIN-r40-s46,tp1x8,ROUND_ROBIN,6000,46,6000,135.5797,290.6479,0.085153,0.086653,173.0479,0.0000,0.051850,0.1043,591
tp1x8-ROUND_ROBIN-r40-s49,tp1x8,ROUND_ROBIN,6000,49,6000,138.9232,293.5505,0.085107,0.086653,176.6929,0.0008,0.051762,0.1034,593
tp1x8-ROUND_ROBIN-r40-s47,tp1x8,ROUND_ROBIN,6000,47,6000,136.3708,291.1426,0.085207,0.086653,173.8173,0.0005,0.051484,0.1033,604
tp1x8-ROUND_ROBIN-r40-s52,tp1x8,ROUND_ROBIN,6000,52,6000,137.9731,291.2433,0.085175,0.086653,175.7461,0.0010,0.052207,0.1035,564
tp1x8-ROUND_ROBIN-r40-s50,tp1x8,ROUND_ROBIN,6000,50,6000,136.9459,296.4046,0.085143,0.086653,174.4122,0.0002,0.052041,0.1054,590
tp1x8-ROUND_ROBIN-r40-s51,tp1x8,ROUND_ROBIN,6000,51,6000,139.3902,292.4927,0.084887,0.086653,176.9117,0.0023,0.050753,0.1017,628
tp1x8-ROUND_ROBIN-r40-s53,tp1x8,ROUND_ROBIN,6000,53,6000,135.6161,289.9437,0.085118,0.086653,173.0021,0.0007,0.051370,0.1036,605
tp1x8-ROUND_ROBIN-r40-s55,tp1x8,ROUND_ROBIN,6000,55,6000,135.7576,285.2686,0.085204,0.086653,173.0236,0.0003,0.051274,0.1035,587
tp1x8-ROUND_ROBIN-r40-s54,tp1x8,ROUND_ROBIN,6000,54,6000,135.6436,287.6190,0.085059,0.086653,172.7503,0.0005,0.050983,0.1034,594
tp1x8-ROUND_ROBIN-r40-s56,tp1x8,ROUND_ROBIN,6000,56,6000,131.3657,284.9819,0.085184,0.086653,168.6287,0.0002,0.052631,0.1071,589
tp1x8-ROUND_ROBIN-r40-s57,tp1x8,ROUND_ROBIN,6000,57,6000,136.6437,290.1458,0.085140,0.086653,174.1674,0.0012,0.050888,0.1018,600
tp1x8-ROUND_ROBIN-r40-s61,tp1x8,ROUND_ROBIN,6000,61,6000,135.6295,289.1756,0.085173,0.086653,173.0043,0.0008,0.051103,0.1036,612
tp1x8-ROUND_ROBIN-r40-s59,tp1x8,ROUND_ROBIN,6000,59,6000,135.2067,285.7522,0.085153,0.086653,172.3982,0.0005,0.050933,0.1028,616
tp1x8-ROUND_ROBIN-r40-s58,tp1x8,ROUND_ROBIN,6000,58,6000,136.4356,288.0906,0.085243,0.086653,173.7100,0.0007,0.051502,0.1037,628
tp1x8-ROUND_ROBIN-r40-s60,tp1x8,ROUND_ROBIN,6000,60,6000,133.2896,284.6648,0.085052,0.086653,170.2818,0.0013,0.050943,0.1034,627
tp4x2-ROUND_ROBIN-r10-s42,tp4x2,ROUND_ROBIN,1500,42,1500,0.0788,0.2831,0.008623,0.015943,3.8031,1.0000,0.073894,0.5945,229
tp4x2-ROUND_ROBIN-r10-s44,tp4x2,ROUND_ROBIN,1500,44,1500,0.0773,0.3151,0.007203,0.011885,3.0893,1.0000,0.073241,0.5969,232
tp4x2-ROUND_ROBIN-r10-s45,tp4x2,ROUND_ROBIN,1500,45,1500,0.0764,0.2738,0.007291,0.012836,3.1721,1.0000,0.074855,0.6079,229
tp4x2-ROUND_ROBIN-r10-s43,tp4x2,ROUND_ROBIN,1500,43,1500,0.0729,0.2692,0.007175,0.014291,3.1083,1.0000,0.074413,0.5883,244
tp4x2-ROUND_ROBIN-r10-s47,tp4x2,ROUND_ROBIN,1500,47,1500,0.0794,0.2811,0.007072,0.015019,3.0447,1.0000,0.076858,0.6308,233
tp4x2-ROUND_ROBIN-r10-s46,tp4x2,ROUND_ROBIN,1500,46,1500,0.0753,0.3073,0.006292,0.010807,2.6651,1.0000,0.076817,0.6245,235
tp4x2-ROUND_ROBIN-r10-s48,tp4x2,ROUND_ROBIN,1500,48,1500,0.0783,0.3169,0.007529,0.014592,3.2556,1.0000,0.076917,0.6206,239
tp4x2-ROUND_ROBIN-r10-s49,tp4x2,ROUND_ROBIN,1500,49,1500,0.0751,0.2513,0.006820,0.011692,2.9845,1.0000,0.076305,0.6028,239
