timestamp_unix_ms,gpu,power_w,mem_used_mib,sm_util_pct
1783317259993,0,15.82,13087,100
1783317260194,0,15.82,13087,100
1783317260396,0,15.81,13087,100
1783317260597,0,15.81,13087,100
1783317260798,0,15.81,13087,100
1783317260999,0,15.81,13087,100
1783317261201,0,15.81,13087,100
1783317261402,0,15.82,13087,100
1783317261604,0,15.82,13087,100
1783317261805,0,15.82,13087,100
1783317262006,0,15.82,13087,100
1783317262207,0,15.82,13087,100
1783317262409,0,15.82,13087,100
1783317262610,0,15.82,13087,100
1783317262811,0,15.81,13087,100
1783317263013,0,15.81,13087,100
1783317263214,0,15.81,13087,100
1783317263415,0,15.82,13087,100
1783317263616,0,15.82,13087,100
1783317263818,0,15.84,13087,100
1783317264019,0,15.84,13087,100
1783317264220,0,15.84,13087,100
1783317264421,0,15.83,13087,100
1783317264623,0,15.83,13087,100
1783317264824,0,15.84,13087,100
1783317265025,0,15.84,13087,100
1783317265227,0,15.84,13087,100
1783317265428,0,15.82,13087,100
1783317265629,0,15.82,13087,100
1783317265831,0,15.81,13087,100
1783317266032,0,15.81,13087,100
1783317266233,0,15.81,13087,100
1783317266435,0,15.82,13087,100
1783317266636,0,15.82,13087,100
1783317266837,0,15.83,13087,100
1783317267038,0,15.83,13087,100
1783317267239,0,15.83,13087,100
1783317267440,0,15.82,13087,100
1783317267641,0,15.82,13087,100
1783317267843,0,15.81,13087,100
1783317268044,0,15.81,13087,100
1783317268245,0,15.81,13087,100
1783317268447,0,15.8,13087,100
1783317268647,0,15.8,13087,100
1783317268847,0,15.84,13087,100
1783317269047,0,15.84,13087,100
1783317269247,0,15.84,13087,100
1783317269448,0,15.85,13087,100
1783317269648,0,15.85,13087,100
1783317269849,0,15.83,13087,100
1783317270049,0,15.83,13087,100
1783317270251,0,15.83,13087,100
1783317270451,0,15.57,13087,58
1783317270651,0,15.57,13087,58
1783317270851,0,16.4,13087,100
1783317271053,0,16.4,13087,100
1783317271254,0,16.4,13087,100
1783317271455,0,17.1,13087,100
1783317271656,0,17.1,13087,100
1783317271857,0,16.33,13087,100
1783317272057,0,16.33,13087,100
1783317272258,0,16.33,13087,100
1783317272458,0,16.08,13087,100
1783317272660,0,16.08,13087,100
1783317272861,0,16.06,13087,100
1783317273061,0,16.06,13087,100
1783317273262,0,16.06,13087,100
1783317273463,0,16.08,13087,100
1783317273665,0,16.08,13087,100
1783317273866,0,16.07,13087,100
1783317274066,0,16.07,13087,100
1783317274266,0,16.07,13087,100
1783317274468,0,16.06,13087,100
1783317274669,0,16.06,13087,100
1783317274870,0,16.07,13087,100
1783317275071,0,16.07,13087,100
1783317275272,0,16.07,13087,100
1783317275472,0,16.1,13087,100
1783317275672,0,16.1,13087,100
1783317275872,0,16.12,13087,100
1783317276073,0,16.12,13087,100
1783317276273,0,16.12,13087,100
1783317276474,0,16.12,13087,100
1783317276675,0,16.12,13087,100
