id,input_len,output_len,ttft_sec,tpot_sec,e2e_sec,energy_j,carbon_g,ttft_ok,tpot_ok
1399,222,81,0.031035,0.011867,1.004006,13.895237,0.001687,true,true
1396,448,141,0.046601,0.011859,1.846646,25.706894,0.003121,true,true
1398,490,145,0.058387,0.011866,1.876559,25.965769,0.003152,true,true
1397,421,155,0.047468,0.011865,2.062591,28.778477,0.003493,true,true
1401,334,87,0.041617,0.011831,1.115002,15.329275,0.001861,true,true
1400,209,170,0.030236,0.011828,2.119956,29.843814,0.003623,true,true
1403,278,119,0.037510,0.011802,1.430094,19.887841,0.002414,true,true
1402,237,148,0.030774,0.011804,1.840346,25.842945,0.003137,true,true
1404,444,185,0.055890,0.011748,2.217602,30.871950,0.003748,true,true
1405,460,66,0.046042,0.011809,0.891537,12.074723,0.001466,true,true
1407,456,126,0.055113,0.011799,1.529969,21.062794,0.002557,true,true
1406,305,178,0.040849,0.011801,2.333810,32.746344,0.003975,true,true
1408,477,146,0.052103,0.011997,2.059286,28.665088,0.003480,true,true
1415,403,65,0.052906,0.012189,0.858965,11.511521,0.001397,true,true
1410,498,136,0.053223,0.012036,1.874687,26.012784,0.003158,true,true
1409,186,162,0.022205,0.012008,2.201565,31.123978,0.003778,true,true
1414,170,88,0.031840,0.012118,1.153065,16.012488,0.001944,true,true
1411,392,159,0.080698,0.012015,2.135637,29.347103,0.003562,true,true
1413,279,113,0.037778,0.012068,1.476476,20.546404,0.002494,true,true
1412,388,178,0.044060,0.011983,2.366202,33.163084,0.004026,true,true
1416,235,118,0.029546,0.011975,1.514855,21.212064,0.002575,true,true
1417,345,90,0.039826,0.011850,1.286086,17.798157,0.002160,true,true
1421,165,77,0.065626,0.011901,1.061660,14.224617,0.001727,true,true
1422,256,82,0.031055,0.011906,1.076247,14.926650,0.001812,true,true
1419,164,103,0.028039,0.011905,1.419916,19.877745,0.002413,true,true
1418,487,175,0.055878,0.011885,2.361831,32.931886,0.003998,true,true
1420,495,148,0.065204,0.011905,1.984362,27.407980,0.003327,true,true
1423,244,130,0.034248,0.011901,1.708886,23.915921,0.002903,true,true
1426,401,65,0.048505,0.011870,0.852791,11.486217,0.001394,true,true
