id,input_len,output_len,ttft_sec,tpot_sec,e2e_sec,energy_j,carbon_g,ttft_ok,tpot_ok
905,2977,320,0.275401,0.013382,5.226933,70.714060,0.008584,true,true
899,2409,729,0.232258,0.013110,11.886195,166.432785,0.020203,true,true
901,2882,698,0.273120,0.013185,11.095051,154.550703,0.018761,true,true
904,1975,466,0.396914,0.013312,7.540280,102.016185,0.012384,true,true
903,2415,654,0.230600,0.013173,10.225999,142.746787,0.017328,true,true
906,2635,447,0.243407,0.013071,6.774287,93.269125,0.011322,true,true
907,1939,724,0.181403,0.012857,10.459607,146.785595,0.017818,true,true
909,2844,576,0.267107,0.012790,8.080448,111.584286,0.013545,true,true
908,2909,757,0.270813,0.012837,10.693656,148.851234,0.018069,true,true
910,2787,657,0.261971,0.012531,8.688097,120.335615,0.014607,true,true
911,2248,616,0.215431,0.012357,8.069818,112.170462,0.013616,true,true
912,2800,432,0.259283,0.012033,5.445357,74.063621,0.008991,true,true
913,2981,560,0.270971,0.011968,6.961146,95.544053,0.011598,true,true
914,2744,342,0.249826,0.011979,4.533898,61.181903,0.007427,true,true
915,2177,376,0.208705,0.012201,5.282388,72.458527,0.008796,true,true
916,1775,443,0.166986,0.012250,6.147647,85.411316,0.010368,true,true
917,1825,653,0.175818,0.012431,9.109862,127.589308,0.015488,true,true
919,2532,433,0.240017,0.012542,6.088981,83.530522,0.010140,true,true
918,1818,648,0.177531,0.012493,9.130278,127.856415,0.015520,true,true
922,2271,265,0.208283,0.012494,3.684361,49.642732,0.006026,true,true
920,2538,551,0.242854,0.012573,7.742862,107.109486,0.013002,true,true
921,2180,717,0.202186,0.012457,9.506542,132.877837,0.016130,true,true
923,1935,649,0.179747,0.012095,8.017200,111.928617,0.013587,true,true
924,2571,762,0.234390,0.012328,10.316101,143.979426,0.017478,true,true
927,2693,287,0.248513,0.012677,3.874148,51.778605,0.006285,true,true
925,2543,681,0.239659,0.012397,9.137899,127.077984,0.015426,true,true
926,2445,756,0.227841,0.012537,10.933415,152.888981,0.018559,true,true
929,1996,551,0.266085,0.012694,8.026849,110.833410,0.013454,true,true
928,1987,555,0.193798,0.012695,8.188760,114.178050,0.013860,true,true
931,1767,372,0.169131,0.012794,5.306684,73.370688,0.008906,true,true
930,2472,763,0.234717,0.012658,10.652979,148.785816,0.018061,true,true
932,2648,631,0.251227,0.012626,8.574816,118.871251,0.014430,true,true
934,2406,360,0.227258,0.012390,4.936585,67.255073,0.008164,true,true
933,1621,707,0.151246,0.012436,9.717795,136.622285,0.016584,true,true
935,2874,509,0.261922,0.012278,6.804782,93.440218,0.011343,true,true
936,1602,716,0.159851,0.012254,9.519624,133.669253,0.016226,true,true
937,1714,705,0.162553,0.012257,9.231944,129.522243,0.015723,true,true
938,1776,498,0.167359,0.012234,6.524221,90.783944,0.011020,true,true
939,3046,615,0.283863,0.012230,8.213960,113.251695,0.013747,true,true
941,1821,467,0.172718,0.012180,6.001320,83.239721,0.010104,true,true
940,2785,694,0.254610,0.012181,9.267435,128.714398,0.015624,true,true
942,1657,615,0.156304,0.012481,8.811376,123.605249,0.015004,true,true
943,2758,428,0.258124,0.012634,6.393399,87.619394,0.010636,true,true
945,2083,353,0.193211,0.012759,4.963510,68.125836,0.008270,true,true
944,2977,555,0.273715,0.012603,7.725908,106.426635,0.012919,true,true
946,3072,677,0.288741,0.012446,8.895175,122.910628,0.014920,true,true
947,2103,385,0.197116,0.011963,5.157943,70.846812,0.008600,true,true
948,1807,511,0.172858,0.012142,6.831904,95.099501,0.011544,true,true
949,2195,509,0.208921,0.012150,6.646566,91.937615,0.011160,true,true
950,2920,658,0.276727,0.012401,9.234104,127.922546,0.015528,true,true
951,2718,531,0.258733,0.012452,7.420651,102.281131,0.012416,true,true
953,1726,668,0.163320,0.012640,9.293864,130.395574,0.015829,true,true
952,2304,718,0.216176,0.012644,10.140826,141.736402,0.017205,true,true
954,2105,633,0.197558,0.012628,8.685300,121.215563,0.014714,true,true
956,3036,351,0.287847,0.012625,4.932415,66.330238,0.008052,true,true
